uf,carteira_ativa,carteira_inadimplencia,tx_inadimplencia
SP,24615415150859.53,796752447814.99,0.03236802803982644
MG,7464339471735.67,280652920801.35,0.037599163578246296
RJ,6727538704674.92,245343541115.23,0.0364685439780142
PR,6239539656610.75,221428483280.36,0.03548795191096478
RS,5962909302657.92,196149044357.65,0.03289485625250381
SC,4548159173840.67,137437305170.92,0.030218226741361334
GO,3839876192224.92,193044231782.57,0.050273556260342696
BA,3235430498704.72,146961811805.66,0.04542264525987965
MT,3016392487205.81,136097117005.57,0.04511916721143989
DF,1983090443738.44,60296429226.2,0.030405284547956202
PE,1881414243168.98,92077585925.21,0.04894062339515308
CE,1842658729242.27,83742302595.58,0.04544645259950883
PA,1810152411656.24,88035773691.13,0.04863445372015922
MS,1621322767232.47,82215149238.62,0.050708687313975
ES,1417957253975.89,54598963295.02,0.038505366182179965
MA,1273764782971.69,78391160096.78,0.061542885424963334
AM,864610088339.75,40119163364.05,0.04640145182794248
PB,833080063391.41,39928147590.87,0.04792834367962827
RN,788915217334.06,38290526090.87,0.048535666760571784
PI,747117121243.51,29774906681.49,0.03985306431196801
RO,732719265922.64,34997103873.97,0.04776331877926214
AL,658906525021.5,32163680979.0,0.048813723582340464
TO,642109803865.02,38146009529.63,0.059407299655011646
SE,507532280682.6,25481456920.19,0.050206573828011476
AC,218186686537.02,10000167787.52,0.04583307967245408
AP,211097678391.97,10013454933.06,0.04743517318303631
RR,171372987889.06,8638911119.35,0.05040999299692718
